image_name,object_id,label,timestamp,crop_path
Image1.jpg.png,Image1.jpg.png_object_1,metal,2026-06-05T06:43:33.622814,database/crops/Image1.jpg.png_object_1.png
Image1.jpg.png,Image1.jpg.png_object_1,coated_structural_steel,2026-06-05T06:45:25.866890,database/crops/Image1.jpg.png_object_1.png
sealed1.jpg,sealed1.jpg_object_0,hydrogen_storage_vessel,2026-06-05T06:46:32.476873,database/crops/sealed1.jpg_object_0.png
galvanized_steel.png,galvanized_steel.png_object_0,Galvanized_conveyor_frames,2026-06-05T07:48:00.663151,database/crops/galvanized_steel.png_object_0.png
sealed1.jpg,sealed1.jpg_object_0,hydrogen_storage_vessel,2026-06-05T07:56:42.599726,database/crops/sealed1.jpg_object_0.png
galvanized_steel.png,galvanized_steel.png_object_0,Zinc_coated_pipes,2026-06-05T07:58:13.975537,database/crops/galvanized_steel.png_object_0.png
hollow1.jpg,hollow1.jpg_object_0,metal,2026-06-05T07:58:39.647357,database/crops/hollow1.jpg_object_0.png
sealed1.jpg,sealed1.jpg_object_1,cng_tank,2026-06-05T07:58:42.325697,database/crops/sealed1.jpg_object_1.png
galvanized_steel.png,galvanized_steel.png_object_1,Galvanized_conveyor_frames,2026-06-05T07:59:06.966562,database/crops/galvanized_steel.png_object_1.png
galvanized_steel.png,galvanized_steel.png_object_2,Zinc_coated_pipes,2026-06-05T08:02:33.535516,database/crops/galvanized_steel.png_object_2.png
sealed1.jpg,sealed1.jpg_object_2,sealed_drum,2026-06-05T08:07:07.737415,database/crops/sealed1.jpg_object_2.png
sealed1.jpg,sealed1.jpg_object_3,chlorine_container,2026-06-05T08:07:50.277114,database/crops/sealed1.jpg_object_3.png
hollow1.jpg,hollow1.jpg_object_1,distillation_coloumn_section,2026-06-05T08:08:48.014837,database/crops/hollow1.jpg_object_1.png
galvanized_steel.png,galvanized_steel.png_object_3,metal,2026-06-05T08:08:50.019423,database/crops/galvanized_steel.png_object_3.png
galvanized_steel.png,galvanized_steel.png_object_3,coated_structural_steel,2026-06-05T08:08:57.105806,database/crops/galvanized_steel.png_object_3.png
hollow1.jpg,hollow1.jpg_object_1,distillation_coloumn_section,2026-06-05T08:08:59.588648,database/crops/hollow1.jpg_object_1.png
hollow1.jpg,hollow1.jpg_object_1,distillation_coloumn_section,2026-06-05T08:09:15.574611,database/crops/hollow1.jpg_object_1.png
sealed1.jpg,sealed1.jpg_object_4,medical_gas_cylinder,2026-06-05T08:09:31.682719,database/crops/sealed1.jpg_object_4.png
sealed1.jpg,sealed1.jpg_object_7,medical_gas_cylinder,2026-06-05T08:15:02.830401,database/crops/sealed1.jpg_object_7.png
